Angiogenesis	Apoptosis	Cell_Cycle	Differentiation	DNA_damage	DNA_repair	EMT	Hypoxia	Inflammation	Invasion	Metastasis	Proliferation	Quiescence	Stemness
ACVRL1	APAF1	ANLN	ABL1	BRCA1	RAD52	BGN	PLIN2	BMP2	AEBP1	ACKR3	ADK	ALOX5	AFMID
JAG1	ATF4	ANP32E	ACVR1	MRE11	POLR2J	CDH11	ADM	CD6	AKR1B1	AFP	BAX	ANXA5	AFP
ANGPT1	ATM	ATAD2	ADA	FOXN3	LIG3	CDH2	ADORA2B	CEBPB	AMD1	AGR2	CCND1	AREG	ANPEP
ANGPT2	BAK1	AURKA	AGT	HIPK2	REV3L	COL1A2	AK4	CCR7	SLC25A5	AKT1	BMPR1A	CREM	APC
CD34	BID	BRIP1	AKT1	SP100	BRCA1	COL3A1	ALDOC	CSF1	ATP5PB	ALDH1A1	BUB1B	CRHBP	AQP1
CDC42	BOK	CASP8AP2	ANXA1	PSME4	ERCC1	COL5A2	ANG	F3	BAG1	ANGPTL4	CCNA2	EMP1	ASCL1
MAPK14	BRCA2	CBX5	ATOH1	RPS6KA6	MNAT1	CTGF	ATF3	F12	BGN	ANXA1	CCNB1	EVI2A	ASCL2
TYMP	CASP2	CCNA2	ATP2B2	TP63	MRE11	DDR2	BNIP3	FCER1G	C1QB	ANXA2	CD40	GBP2	AXIN2
EDN1	CASP4	CCNB2	ATP7A	GTSE1	RFC1	ECM1	BNIP3L	B4GALT1	CALD1	AQP5	CDK1	CXCL1	AZGP1
EFNB2	CASP9	CCND1	AXL	PPP2R5C	TDP1	FAP	CA9	FFAR2	CAPG	ATF3	CDC20	CXCL2	BAZ2B
EGR3	DAPK3	CCNE1	BCL2	TP73	RRM2B	FBLN5	CA12	CXCL1	CCNE1	AURKA	CYBA	CXCL3	BMI1
EPHB4	DDIT3	CCNE2	BCL3	CNOT4	ERCC8	FBN1	CAV1	CXCL2	CDH11	AXL	HMGB2	GUCY1A1	BOC
