angiogenesis	cell_replicative_immortality	change_of_cellular_energetics	escaping_immune_response	escaping_programmed_cell_death	genome_instability_and_mutations	invasion_and_metastasis	proliferative_signalling	suppression_of_growth	tumour_promoting_inflammation
ABL1	ARID1A	ABL1	B2M	ABL1	ABL1	ABI1	ABI1	ABI1	APOBEC3B
ACKR3	ATM	AKT1	CBLB	ACKR3	ACVR2A	ABL1	ABL1	ACVR2A	ATM
AKT1	AXIN1	ARNT	CIITA	ACVR1	AKT1	ACKR3	ACKR3	AKT1	CASP8
ARNT	BCL11A	ATR	CTNNB1	ACVR2A	ALDH2	ACVR1	ACVR1	AMER1	CDKN1B
BCL9	BRD4	BAP1	CUX1	AKT1	APC	ACVR2A	ACVR2A	APC	CYLD
BRCA1	BTK	BRCA1	DNMT3A	ALK	APOBEC3B	AFF4	AFF4	ARHGAP26	DDIT3
CALR	CCNE1	CBFA2T3	EGFR	APC	ARID1A	AKT1	AKT1	ARID1A	EPAS1
CASP8	CDK4	CCDC6	ESR1	AR	ARID1B	ALK	ALK	ARID1B	EZH2
CDKN1B	CTNNB1	CCND1	EZH2	ARID1A	ARID2	APC	AR	ARID2	FANCD2
CDKN2A	DICER1	CDH1	FES	ATM	ATM	ARHGAP26	ARHGAP26	ATP2B3	FES
CREB3L1	ELF4	CDK12	GATA2	ATP1A1	ATR	ARID1A	ARID1B	ATR	FOXL2
CTNNB1	ELL	CDKN1B	GATA3	ATR	ATRX	ARID1B	BAP1	AXIN1	GATA3
CUX1	ERG	CEBPA	HIF1A	AXIN1	BAP1	ARNT	BARD1	AXIN2	HNRNPA2B1
CYLD	FAS	CIC	HRAS	BAP1	BARD1	ATM	BCL10	BARD1	HRAS
DDX6	FGFR1	CTNNB1	IKBKB	BARD1	BCL10	ATP1A1	BCL9	BCOR	IKBKB
DICER1	HEY1	DDX3X	IKZF1	BCL10	BCL9L	BAP1	BCL9L	BLM	IKZF1
DNM2	KDR	DNMT3A	IL7R	BIRC3	BLM	BARD1	BRAF	CAMTA1	IL6ST
DNMT3A	KLF4	EGFR	IRS4	BLM	BRCA1	BCL10	BRD4	CBFA2T3	IL7R
EGFR	KMT2A	ERBB2	JAK1	BRAF	BRCA2	BCL9	BUB1B	CBLB	JAK2
EIF3E	KMT2C	EZH2	KDM5C	BRCA1	BRIP1	BCL9L	CACNA1D	CCDC6	KDR
ELL	KMT2D	GATA3	KMT2A	BRCA2	BTK	BCORL1	CALR	CDC73	KMT2A
EPAS1	KRAS	HIF1A	MET	BRD4	BUB1B	BMPR1A	CASP8	CDKN1B	KRAS
EZH2	MLLT10	IKZF1	MYC	BTK	CCDC6	BRCA1	CBL	CDKN2A	MAP2K1
FES	MYC	IRS4	PBRM1	BUB1B	CCND1	BUB1B	CCND2	CDKN2C	MAP2K2
GATA1	NDRG1	JAK2	PTEN	CALR	CDK12	CALR	CCNE1	CEBPA	MYD88
GATA2	NOTCH1	KMT2D	PTPN11	CARD11	CDKN1B	CASP8	CD79A	CIC	PBRM1
GATA3	NRAS	KRAS	RAC1	CARS	CHD4	CBFB	CDK6	CNOT3	PTPN11
HIF1A	PIK3R1	MAP2K1	RB1	CASP8	CHEK2	CBL	CEBPA	CTNNB1	PTPRB
HRAS	POU5F1	MAP2K2	RET	CCDC6	CLTC	CBLB	CREB3L2	CUX1	RET
IKBKB	PTEN	MAPK1	SETDB1	CD79B	CREBBP	CCNB1IP1	CREBBP	CYLD	RHOA
KDR	RNF43	MTOR	TNFAIP3	CDC73	CTCF	CCND1	CRTC1	DDX10	SMAD4
KMT2A	SETDB1	MYC	TP53	CDH11	CTNNB1	CD79A	CSF3R	DDX3X	TNFAIP3
KRAS	SIX1	NF2	NA	CDKN1B	CUX1	CDC73	CTNNB1	EBF1	TP53
LCK	SLC34A2	NFE2L2	NA	CDKN2A	DAXX	CDH1	CUX1	ELF4	NA
MACC1	SMAD2	NONO	NA	CDKN2C	DDB2	CDH11	CXCR4	ELL	NA
MAP2K1	STAG2	NOTCH1	NA	CEBPA	DICER1	CDKN1B	DAXX	EP300	NA
MAP2K2	TERT	NPM1	NA	CHEK2	ERCC2	CDKN2A	DDB2	EPAS1	NA
MET	TP53	PAFAH1B2	NA	CNBP	ERCC3	CEBPA	DDX5	ERBB4	NA
MTOR	WIF1	PBRM1	NA	CNOT3	ERCC4	CIC	DDX6	ESR1	NA
MYC	ZBTB16	PBX1	NA	CREBBP	ERCC5	CLTCL1	DICER1	EZH2	NA
NAB2	NA	PICALM	NA	CSF3R	EWSR1	CNBP	DNM2	FAT1	NA
NF1	NA	PIM1	NA	CTNNB1	EZH2	CREB3L1	DNMT3A	FAT4	NA
NOTCH1	NA	PPARG	NA	CUX1	FANCD2	CREBBP	EGFR	FCGR2B	NA
PBX1	NA	PTEN	NA	CYLD	FBXW7	CSF3R	EIF3E	FES	NA
PDGFRA	NA	PTPN11	NA	DAXX	FHIT	CTNNB1	ELF4	FLT3	NA
PIK3CA	NA	RB1	NA	DDB2	FOXL2	CUX1	ELK4	FOXL2	NA
PIM1	NA	SDHA	NA	DDIT3	GATA3	CXCR4	EPAS1	FUS	NA
PLCG1	NA	SIX1	NA	DDX3X	HIST1H3B	CYLD	EPS15	GATA2	NA
PTPN11	NA	TET2	NA	DDX5	HRAS	DAXX	ERBB2	GATA3	NA
PTPRB	NA	TFE3	NA	DDX6	IKZF1	DDB2	ERBB3	GNAS	NA
RAC1	NA	TP53	NA	DICER1	KDM5C	DDR2	ERBB4	GPC3	NA
RAF1	NA	USP8	NA	DNMT3A	KMT2C	DDX3X	ESR1	GRIN2A	NA
RNF213	NA	VHL	NA	EGFR	KNL1	DDX5	EZH2	HNF1A	NA
RUNX1T1	NA	NA	NA	EIF3E	LATS1	DICER1	EZR	HOXA11	NA
SDHA	NA	NA	NA	ELF4	LATS2	DNM2	FANCD2	IKZF1	NA
SIX1	NA	NA	NA	ELK4	LMNA	DNMT3A	FAS	KDM5C	NA
SMAD4	NA	NA	NA	EP300	MAP2K1	EGFR	FBXO11	KLF4	NA
